City,geography,Religion (10 categories) Code,Religion (10 categories),Proxy_Flag,Proxy_Source,Observation,Source_Area_Count,Source_Areas
Salford,North West,4,Hindu,False,direct_or_alias,2113,1,Salford
Salford,North West,5,Jewish,False,direct_or_alias,10373,1,Salford
Salford,North West,6,Muslim,False,direct_or_alias,13542,1,Salford
Salford,North West,7,Sikh,False,direct_or_alias,728,1,Salford
Salford,North West,8,Other religion,False,direct_or_alias,1068,1,Salford
Salford,North West,9,Not answered,False,direct_or_alias,16152,1,Salford
Salisbury,South West,-8,Does not apply,True,area_to_city,0,1,Wiltshire
Salisbury,South West,1,No religion,True,area_to_city,210601,1,Wiltshire
Salisbury,South West,2,Christian,True,area_to_city,256160,1,Wiltshire
Salisbury,South West,3,Buddhist,True,area_to_city,2521,1,Wiltshire
Salisbury,South West,4,Hindu,True,area_to_city,2670,1,Wiltshire
Salisbury,South West,5,Jewish,True,area_to_city,458,1,Wiltshire
Salisbury,South West,6,Muslim,True,area_to_city,3508,1,Wiltshire
Salisbury,South West,7,Sikh,True,area_to_city,483,1,Wiltshire
Salisbury,South West,8,Other religion,True,area_to_city,3224,1,Wiltshire
Salisbury,South West,9,Not answered,True,area_to_city,30709,1,Wiltshire
Sheffield,Yorkshire and The Humber,-8,Does not apply,False,direct_or_alias,0,1,Sheffield
Sheffield,Yorkshire and The Humber,1,No religion,False,direct_or_alias,241556,1,Sheffield
Sheffield,Yorkshire and The Humber,2,Christian,False,direct_or_alias,214136,1,Sheffield
Sheffield,Yorkshire and The Humber,3,Buddhist,False,direct_or_alias,2215,1,Sheffield
Sheffield,Yorkshire and The Humber,4,Hindu,False,direct_or_alias,3759,1,Sheffield
Sheffield,Yorkshire and The Humber,5,Jewish,False,direct_or_alias,649,1,Sheffield
Sheffield,Yorkshire and The Humber,6,Muslim,False,direct_or_alias,57044,1,Sheffield
Sheffield,Yorkshire and The Humber,7,Sikh,False,direct_or_alias,927,1,Sheffield
Sheffield,Yorkshire and The Humber,8,Other religion,False,direct_or_alias,2635,1,Sheffield
Sheffield,Yorkshire and The Humber,9,Not answered,False,direct_or_alias,33600,1,Sheffield
Southampton,South East,-8,Does not apply,False,direct_or_alias,0,1,Southampton
Southampton,South East,1,No religion,False,direct_or_alias,108000,1,Southampton
Southampton,South East,2,Christian,False,direct_or_alias,99910,1,Southampton
Southampton,South East,3,Buddhist,False,direct_or_alias,1333,1,Southampton
Southampton,South East,4,Hindu,False,direct_or_alias,3265,1,Southampton
Southampton,South East,5,Jewish,False,direct_or_alias,254,1,Southampton
Southampton,South East,6,Muslim,False,direct_or_alias,13893,1,Southampton
Southampton,South East,7,Sikh,False,direct_or_alias,4192,1,Southampton
Southampton,South East,8,Other religion,False,direct_or_alias,1663,1,Southampton
Southampton,South East,9,Not answered,False,direct_or_alias,16412,1,Southampton
Southend-on-Sea,East,-8,Does not apply,False,direct_or_alias,0,1,Southend-on-Sea
Southend-on-Sea,East,1,No religion,False,direct_or_alias,81187,1,Southend-on-Sea
Southend-on-Sea,East,2,Christian,False,direct_or_alias,76884,1,Southend-on-Sea
Southend-on-Sea,East,3,Buddhist,False,direct_or_alias,953,1,Southend-on-Sea
Southend-on-Sea,East,4,Hindu,False,direct_or_alias,2057,1,Southend-on-Sea
Southend-on-Sea,East,5,Jewish,False,direct_or_alias,2057,1,Southend-on-Sea
Southend-on-Sea,East,6,Muslim,False,direct_or_alias,5461,1,Southend-on-Sea
Southend-on-Sea,East,7,Sikh,False,direct_or_alias,203,1,Southend-on-Sea
Southend-on-Sea,East,8,Other religion,False,direct_or_alias,1128,1,Southend-on-Sea
Southend-on-Sea,East,9,Not answered,False,direct_or_alias,10756,1,Southend-on-Sea
St Albans,East,-8,Does not apply,False,direct_or_alias,0,1,St Albans
St Albans,East,1,No religion,False,direct_or_alias,55020,1,St Albans
St Albans,East,2,Christian,False,direct_or_alias,70246,1,St Albans
St Albans,East,3,Buddhist,False,direct_or_alias,735,1,St Albans
St Albans,East,4,Hindu,False,direct_or_alias,2740,1,St Albans
St Albans,East,5,Jewish,False,direct_or_alias,2237,1,St Albans
St Albans,East,6,Muslim,False,direct_or_alias,6915,1,St Albans
St Albans,East,7,Sikh,False,direct_or_alias,535,1,St Albans
St Albans,East,8,Other religion,False,direct_or_alias,709,1,St Albans
St Albans,East,9,Not answered,False,direct_or_alias,9029,1,St Albans
St Asaph,Wales,-8,Does not apply,True,area_to_city,0,1,Denbighshire
St Asaph,Wales,1,No religion,True,area_to_city,40297,1,Denbighshire
St Asaph,Wales,2,Christian,True,area_to_city,47226,1,Denbighshire
St Asaph,Wales,3,Buddhist,True,area_to_city,320,1,Denbighshire
St Asaph,Wales,4,Hindu,True,area_to_city,209,1,Denbighshire
St Asaph,Wales,5,Jewish,True,area_to_city,48,1,Denbighshire
St Asaph,Wales,6,Muslim,True,area_to_city,740,1,Denbighshire
St Asaph,Wales,7,Sikh,True,area_to_city,38,1,Denbighshire
St Asaph,Wales,8,Other religion,True,area_to_city,483,1,Denbighshire
St Asaph,Wales,9,Not answered,True,area_to_city,6456,1,Denbighshire
St Davids,Wales,-8,Does not apply,True,area_to_city,0,1,Pembrokeshire
St Davids,Wales,1,No religion,True,area_to_city,52998,1,Pembrokeshire
St Davids,Wales,2,Christian,True,area_to_city,60174,1,Pembrokeshire
St Davids,Wales,3,Buddhist,True,area_to_city,462,1,Pembrokeshire
St Davids,Wales,4,Hindu,True,area_to_city,161,1,Pembrokeshire
St Davids,Wales,5,Jewish,True,area_to_city,58,1,Pembrokeshire
St Davids,Wales,6,Muslim,True,area_to_city,587,1,Pembrokeshire
St Davids,Wales,7,Sikh,True,area_to_city,32,1,Pembrokeshire
St Davids,Wales,8,Other religion,True,area_to_city,746,1,Pembrokeshire
St Davids,Wales,9,Not answered,True,area_to_city,8145,1,Pembrokeshire
Stoke on Trent,West Midlands,-8,Does not apply,False,direct_or_alias,0,1,Stoke-on-Trent
Stoke on Trent,West Midlands,1,No religion,False,direct_or_alias,97433,1,Stoke-on-Trent
Stoke on Trent,West Midlands,2,Christian,False,direct_or_alias,118434,1,Stoke-on-Trent
Stoke on Trent,West Midlands,3,Buddhist,False,direct_or_alias,811,1,Stoke-on-Trent
Stoke on Trent,West Midlands,4,Hindu,False,direct_or_alias,1356,1,Stoke-on-Trent
Stoke on Trent,West Midlands,5,Jewish,False,direct_or_alias,83,1,Stoke-on-Trent
Stoke on Trent,West Midlands,6,Muslim,False,direct_or_alias,23790,1,Stoke-on-Trent
Stoke on Trent,West Midlands,7,Sikh,False,direct_or_alias,602,1,Stoke-on-Trent
Stoke on Trent,West Midlands,8,Other religion,False,direct_or_alias,1150,1,Stoke-on-Trent
Stoke on Trent,West Midlands,9,Not answered,False,direct_or_alias,14710,1,Stoke-on-Trent
Sunderland,North East,-8,Does not apply,False,direct_or_alias,0,1,Sunderland
Sunderland,North East,1,No religion,False,direct_or_alias,108261,1,Sunderland
Sunderland,North East,2,Christian,False,direct_or_alias,145806,1,Sunderland
Sunderland,North East,3,Buddhist,False,direct_or_alias,539,1,Sunderland
Sunderland,North East,4,Hindu,False,direct_or_alias,611,1,Sunderland
Sunderland,North East,5,Jewish,False,direct_or_alias,87,1,Sunderland
Sunderland,North East,6,Muslim,False,direct_or_alias,4846,1,Sunderland
Sunderland,North East,7,Sikh,False,direct_or_alias,915,1,Sunderland
Sunderland,North East,8,Other religion,False,direct_or_alias,835,1,Sunderland
Sunderland,North East,9,Not answered,False,direct_or_alias,12272,1,Sunderland
Swansea,Wales,-8,Does not apply,False,direct_or_alias,0,1,Swansea
Swansea,Wales,1,No religion,False,direct_or_alias,112687,1,Swansea
Swansea,Wales,2,Christian,False,direct_or_alias,98492,1,Swansea
Swansea,Wales,3,Buddhist,False,direct_or_alias,942,1,Swansea
Swansea,Wales,4,Hindu,False,direct_or_alias,1010,1,Swansea
Swansea,Wales,5,Jewish,False,direct_or_alias,159,1,Swansea
Swansea,Wales,6,Muslim,False,direct_or_alias,7694,1,Swansea
Swansea,Wales,7,Sikh,False,direct_or_alias,346,1,Swansea
Swansea,Wales,8,Other religion,False,direct_or_alias,1175,1,Swansea
Swansea,Wales,9,Not answered,False,direct_or_alias,15985,1,Swansea
Truro,South West,-8,Does not apply,True,area_to_city,0,1,Cornwall
Truro,South West,1,No religion,True,area_to_city,264037,1,Cornwall
Truro,South West,2,Christian,True,area_to_city,259145,1,Cornwall
Truro,South West,3,Buddhist,True,area_to_city,2079,1,Cornwall
Truro,South West,4,Hindu,True,area_to_city,547,1,Cornwall
Truro,South West,5,Jewish,True,area_to_city,507,1,Cornwall
Truro,South West,6,Muslim,True,area_to_city,1333,1,Cornwall
Truro,South West,7,Sikh,True,area_to_city,130,1,Cornwall
Truro,South West,8,Other religion,True,area_to_city,4393,1,Cornwall
Truro,South West,9,Not answered,True,area_to_city,38134,1,Cornwall
Wakefield,Yorkshire and The Humber,-8,Does not apply,False,direct_or_alias,0,1,Wakefield
Wakefield,Yorkshire and The Humber,1,No religion,False,direct_or_alias,145950,1,Wakefield
Wakefield,Yorkshire and The Humber,2,Christian,False,direct_or_alias,173070,1,Wakefield
Wakefield,Yorkshire and The Humber,3,Buddhist,False,direct_or_alias,797,1,Wakefield
Wakefield,Yorkshire and The Humber,4,Hindu,False,direct_or_alias,1270,1,Wakefield
Wakefield,Yorkshire and The Humber,5,Jewish,False,direct_or_alias,127,1,Wakefield
Wakefield,Yorkshire and The Humber,6,Muslim,False,direct_or_alias,11279,1,Wakefield
Wakefield,Yorkshire and The Humber,7,Sikh,False,direct_or_alias,501,1,Wakefield
Wakefield,Yorkshire and The Humber,8,Other religion,False,direct_or_alias,1405,1,Wakefield
Wakefield,Yorkshire and The Humber,9,Not answered,False,direct_or_alias,18972,1,Wakefield
Wells,South West,-8,Does not apply,True,area_to_city,0,3,Mendip|Sedgemoor|South Somerset
Wells,South West,1,No religion,True,area_to_city,171225,3,Mendip|Sedgemoor|South Somerset
Wells,South West,2,Christian,True,area_to_city,208550,3,Mendip|Sedgemoor|South Somerset
Wells,South West,3,Buddhist,True,area_to_city,1414,3,Mendip|Sedgemoor|South Somerset
Wells,South West,4,Hindu,True,area_to_city,672,3,Mendip|Sedgemoor|South Somerset
Wells,South West,5,Jewish,True,area_to_city,334,3,Mendip|Sedgemoor|South Somerset
Wells,South West,6,Muslim,True,area_to_city,1680,3,Mendip|Sedgemoor|South Somerset
Wells,South West,7,Sikh,True,area_to_city,123,3,Mendip|Sedgemoor|South Somerset
Wells,South West,8,Other religion,True,area_to_city,3071,3,Mendip|Sedgemoor|South Somerset
Wells,South West,9,Not answered,True,area_to_city,27034,3,Mendip|Sedgemoor|South Somerset
Westminster,London,-8,Does not apply,False,direct_or_alias,0,1,Westminster
Westminster,London,1,No religion,False,direct_or_alias,52936,1,Westminster
Westminster,London,2,Christian,False,direct_or_alias,76245,1,Westminster
Westminster,London,3,Buddhist,False,direct_or_alias,2603,1,Westminster
Westminster,London,4,Hindu,False,direct_or_alias,4457,1,Westminster
Westminster,London,5,Jewish,False,direct_or_alias,5628,1,Westminster
Westminster,London,6,Muslim,False,direct_or_alias,40873,1,Westminster
Westminster,London,7,Sikh,False,direct_or_alias,573,1,Westminster
Westminster,London,8,Other religion,False,direct_or_alias,1741,1,Westminster
Westminster,London,9,Not answered,False,direct_or_alias,19179,1,Westminster
Winchester,South East,-8,Does not apply,False,direct_or_alias,0,1,Winchester
Winchester,South East,1,No religion,False,direct_or_alias,53752,1,Winchester
Winchester,South East,2,Christian,False,direct_or_alias,61948,1,Winchester
Winchester,South East,3,Buddhist,False,direct_or_alias,789,1,Winchester
Winchester,South East,4,Hindu,False,direct_or_alias,948,1,Winchester
Winchester,South East,5,Jewish,False,direct_or_alias,219,1,Winchester
Winchester,South East,6,Muslim,False,direct_or_alias,904,1,Winchester
Winchester,South East,7,Sikh,False,direct_or_alias,188,1,Winchester
Winchester,South East,8,Other religion,False,direct_or_alias,673,1,Winchester
Winchester,South East,9,Not answered,False,direct_or_alias,8023,1,Winchester
Wolverhampton,West Midlands,-8,Does not apply,False,direct_or_alias,0,1,Wolverhampton
Wolverhampton,West Midlands,1,No religion,False,direct_or_alias,73317,1,Wolverhampton
Wolverhampton,West Midlands,2,Christian,False,direct_or_alias,115640,1,Wolverhampton
Wolverhampton,West Midlands,3,Buddhist,False,direct_or_alias,915,1,Wolverhampton
Wolverhampton,West Midlands,4,Hindu,False,direct_or_alias,9882,1,Wolverhampton
Wolverhampton,West Midlands,5,Jewish,False,direct_or_alias,94,1,Wolverhampton
Wolverhampton,West Midlands,6,Muslim,False,direct_or_alias,14489,1,Wolverhampton
Wolverhampton,West Midlands,7,Sikh,False,direct_or_alias,31769,1,Wolverhampton
Wolverhampton,West Midlands,8,Other religion,False,direct_or_alias,3158,1,Wolverhampton
Wolverhampton,West Midlands,9,Not answered,False,direct_or_alias,14465,1,Wolverhampton
Worcester,West Midlands,-8,Does not apply,False,direct_or_alias,0,1,Worcester
Worcester,West Midlands,1,No religion,False,direct_or_alias,41084,1,Worcester
Worcester,West Midlands,2,Christian,False,direct_or_alias,50755,1,Worcester
Worcester,West Midlands,3,Buddhist,False,direct_or_alias,367,1,Worcester
Worcester,West Midlands,4,Hindu,False,direct_or_alias,433,1,Worcester
Worcester,West Midlands,5,Jewish,False,direct_or_alias,51,1,Worcester
Worcester,West Midlands,6,Muslim,False,direct_or_alias,4227,1,Worcester
Worcester,West Midlands,7,Sikh,False,direct_or_alias,168,1,Worcester
Worcester,West Midlands,8,Other religion,False,direct_or_alias,451,1,Worcester
Worcester,West Midlands,9,Not answered,False,direct_or_alias,6335,1,Worcester
Wrexham,Wales,-8,Does not apply,False,direct_or_alias,0,1,Wrexham
Wrexham,Wales,1,No religion,False,direct_or_alias,56477,1,Wrexham
Wrexham,Wales,2,Christian,False,direct_or_alias,66880,1,Wrexham
Wrexham,Wales,3,Buddhist,False,direct_or_alias,404,1,Wrexham
Wrexham,Wales,4,Hindu,False,direct_or_alias,333,1,Wrexham
Wrexham,Wales,5,Jewish,False,direct_or_alias,51,1,Wrexham
Wrexham,Wales,6,Muslim,False,direct_or_alias,1540,1,Wrexham
Wrexham,Wales,7,Sikh,False,direct_or_alias,78,1,Wrexham
Wrexham,Wales,8,Other religion,False,direct_or_alias,513,1,Wrexham
Wrexham,Wales,9,Not answered,False,direct_or_alias,8841,1,Wrexham
York,Yorkshire and The Humber,-8,Does not apply,False,direct_or_alias,0,1,York
York,Yorkshire and The Humber,1,No religion,False,direct_or_alias,93577,1,York
York,Yorkshire and The Humber,2,Christian,False,direct_or_alias,89019,1,York
York,Yorkshire and The Humber,3,Buddhist,False,direct_or_alias,1045,1,York
York,Yorkshire and The Humber,4,Hindu,False,direct_or_alias,1043,1,York
York,Yorkshire and The Humber,5,Jewish,False,direct_or_alias,273,1,York
York,Yorkshire and The Humber,6,Muslim,False,direct_or_alias,2488,1,York
York,Yorkshire and The Humber,7,Sikh,False,direct_or_alias,179,1,York
York,Yorkshire and The Humber,8,Other religion,False,direct_or_alias,1266,1,York
York,Yorkshire and The Humber,9,Not answered,False,direct_or_alias,13930,1,York
