City,geography,Sex (2 categories) Code,Sex (2 categories),Proxy_Flag,Proxy_Source,Observation,Source_Area_Count,Source_Areas
Salisbury,South West,2,Male,True,area_to_city,251704,1,Wiltshire
Sheffield,Yorkshire and The Humber,1,Female,False,direct_or_alias,282327,1,Sheffield
Sheffield,Yorkshire and The Humber,2,Male,False,direct_or_alias,274194,1,Sheffield
Southampton,South East,1,Female,False,direct_or_alias,123953,1,Southampton
Southampton,South East,2,Male,False,direct_or_alias,124969,1,Southampton
Southend-on-Sea,East,1,Female,False,direct_or_alias,92773,1,Southend-on-Sea
Southend-on-Sea,East,2,Male,False,direct_or_alias,87913,1,Southend-on-Sea
St Albans,East,1,Female,False,direct_or_alias,75871,1,St Albans
St Albans,East,2,Male,False,direct_or_alias,72296,1,St Albans
St Asaph,Wales,1,Female,True,area_to_city,49209,1,Denbighshire
St Asaph,Wales,2,Male,True,area_to_city,46609,1,Denbighshire
St Davids,Wales,1,Female,True,area_to_city,63289,1,Pembrokeshire
St Davids,Wales,2,Male,True,area_to_city,60071,1,Pembrokeshire
Stoke on Trent,West Midlands,1,Female,False,direct_or_alias,129893,1,Stoke-on-Trent
Stoke on Trent,West Midlands,2,Male,False,direct_or_alias,128476,1,Stoke-on-Trent
Sunderland,North East,1,Female,False,direct_or_alias,141078,1,Sunderland
Sunderland,North East,2,Male,False,direct_or_alias,133093,1,Sunderland
Swansea,Wales,1,Female,False,direct_or_alias,120966,1,Swansea
Swansea,Wales,2,Male,False,direct_or_alias,117524,1,Swansea
Truro,South West,1,Female,True,area_to_city,293685,1,Cornwall
Truro,South West,2,Male,True,area_to_city,276620,1,Cornwall
Wakefield,Yorkshire and The Humber,1,Female,False,direct_or_alias,179539,1,Wakefield
Wakefield,Yorkshire and The Humber,2,Male,False,direct_or_alias,173831,1,Wakefield
Wells,South West,1,Female,True,area_to_city,211131,3,Mendip|Sedgemoor|South Somerset
Wells,South West,2,Male,True,area_to_city,202972,3,Mendip|Sedgemoor|South Somerset
Westminster,London,1,Female,False,direct_or_alias,105327,1,Westminster
Westminster,London,2,Male,False,direct_or_alias,98909,1,Westminster
Winchester,South East,1,Female,False,direct_or_alias,65380,1,Winchester
Winchester,South East,2,Male,False,direct_or_alias,62065,1,Winchester
Wolverhampton,West Midlands,1,Female,False,direct_or_alias,134175,1,Wolverhampton
Wolverhampton,West Midlands,2,Male,False,direct_or_alias,129552,1,Wolverhampton
Worcester,West Midlands,1,Female,False,direct_or_alias,52999,1,Worcester
Worcester,West Midlands,2,Male,False,direct_or_alias,50873,1,Worcester
Wrexham,Wales,1,Female,False,direct_or_alias,68241,1,Wrexham
Wrexham,Wales,2,Male,False,direct_or_alias,66876,1,Wrexham
York,Yorkshire and The Humber,1,Female,False,direct_or_alias,105298,1,York
York,Yorkshire and The Humber,2,Male,False,direct_or_alias,97523,1,York
