City,Year,Weekly_Pay,Type
Leicester,2020,486.8,historical
Leicester,2021,512.7,historical
Leicester,2022,529.1,historical
Lichfield,2015,593.9,historical
Lichfield,2016,660.5,historical
Lichfield,2017,612.1,historical
Lichfield,2018,638.6,historical
Lichfield,2019,671.0,historical
Lichfield,2020,642.5,historical
Lichfield,2021,684.3,historical
Lichfield,2022,706.0,historical
Lincoln,2015,470.8,historical
Lincoln,2016,448.4,historical
Lincoln,2017,452.2,historical
Lincoln,2018,452.3,historical
Lincoln,2019,520.8,historical
Lincoln,2020,544.4,historical
Lincoln,2021,560.3,historical
Lincoln,2022,608.5,historical
Liverpool,2015,480.8,historical
Liverpool,2016,496.6,historical
Liverpool,2017,509.7,historical
Liverpool,2018,530.3,historical
Liverpool,2019,554.1,historical
Liverpool,2020,570.0,historical
Liverpool,2021,586.7,historical
Liverpool,2022,607.7,historical
London,2016,1034.1,historical
London,2018,1032.2,historical
London,2022,1013.7,historical
Manchester,2015,479.8,historical
Manchester,2016,471.5,historical
Manchester,2017,478.6,historical
Manchester,2018,497.3,historical
Manchester,2019,535.8,historical
Manchester,2020,536.2,historical
Manchester,2021,531.3,historical
Manchester,2022,574.9,historical
Milton Keynes,2015,533.6,historical
Milton Keynes,2016,556.0,historical
Milton Keynes,2017,576.2,historical
Milton Keynes,2018,588.0,historical
Milton Keynes,2019,636.8,historical
Milton Keynes,2020,613.3,historical
Milton Keynes,2021,642.1,historical
Milton Keynes,2022,690.9,historical
Newcastle upon Tyne,2015,495.9,historical
Newcastle upon Tyne,2016,508.8,historical
Newcastle upon Tyne,2017,532.8,historical
Newcastle upon Tyne,2018,536.3,historical
Newcastle upon Tyne,2019,560.3,historical
Newcastle upon Tyne,2020,544.6,historical
Newcastle upon Tyne,2021,601.9,historical
Newcastle upon Tyne,2022,620.3,historical
Newport,2015,463.2,historical
Newport,2016,471.2,historical
Newport,2017,482.0,historical
Newport,2018,520.7,historical
Newport,2019,535.2,historical
Newport,2020,564.9,historical
Newport,2021,570.3,historical
Newport,2022,622.2,historical
Norwich,2015,465.8,historical
Norwich,2016,460.0,historical
Norwich,2017,494.9,historical
Norwich,2018,475.3,historical
Norwich,2019,504.0,historical
Norwich,2020,517.6,historical
Norwich,2021,601.2,historical
Norwich,2022,594.4,historical
Nottingham,2015,434.8,historical
Nottingham,2016,448.2,historical
Nottingham,2017,452.5,historical
Nottingham,2018,460.0,historical
Nottingham,2019,480.0,historical
Nottingham,2020,501.0,historical
Nottingham,2021,490.6,historical
Nottingham,2022,535.4,historical
Oxford,2015,556.8,historical
Oxford,2016,589.1,historical
Oxford,2017,631.6,historical
Oxford,2018,623.8,historical
Oxford,2019,636.3,historical
Oxford,2020,663.1,historical
Oxford,2021,667.3,historical
Oxford,2022,692.2,historical
Peterborough,2015,460.5,historical
Peterborough,2016,466.3,historical
Peterborough,2017,460.0,historical
Peterborough,2018,481.1,historical
Peterborough,2019,525.0,historical
Peterborough,2020,537.9,historical
Peterborough,2021,564.7,historical
Peterborough,2022,590.1,historical
Plymouth,2015,483.9,historical
Plymouth,2016,481.9,historical
Plymouth,2017,512.8,historical
Plymouth,2018,524.7,historical
Plymouth,2019,506.2,historical
Plymouth,2020,512.7,historical
Plymouth,2021,522.0,historical
Plymouth,2022,550.6,historical
Portsmouth,2015,513.4,historical
Portsmouth,2016,510.2,historical
Portsmouth,2017,503.1,historical
Portsmouth,2018,512.7,historical
Portsmouth,2019,563.9,historical
Portsmouth,2020,538.5,historical
Portsmouth,2021,604.0,historical
Portsmouth,2022,628.2,historical
Preston,2015,434.9,historical
Preston,2016,479.1,historical
Preston,2017,459.8,historical
Preston,2018,501.7,historical
Preston,2019,506.0,historical
Preston,2020,509.8,historical
Preston,2021,534.5,historical
Preston,2022,574.9,historical
Ripon,2015,518.7,historical
Ripon,2016,543.8,historical
Ripon,2017,536.8,historical
Ripon,2018,603.6,historical
Ripon,2019,643.2,historical
Ripon,2020,602.4,historical
Ripon,2021,651.7,historical
Salford,2015,474.7,historical
Salford,2016,479.1,historical
Salford,2017,489.3,historical
Salford,2018,500.0,historical
Salford,2019,517.4,historical
Salford,2020,536.9,historical
Salford,2021,552.6,historical
Salford,2022,613.3,historical
Salisbury,2015,517.7,historical
Salisbury,2016,519.8,historical
Salisbury,2017,553.3,historical
Salisbury,2018,560.7,historical
Salisbury,2019,564.8,historical
