City,Year,Mean_Price,Sales_Count,National_CPIH,UK_Weighted_Mean_City_Price,City_CPIH_Proxy,Type
Bangor,2015,162491.7845794547,6290.0,100.001,237414.11696454164,68.4430275566003,historical
Bangor,2016,166669.40650305548,7102.0,100.3471,245087.29754123618,68.2401404278767,historical
Bangor,2017,174344.02649649727,6906.0,103.0775,254455.54739836094,70.62509178885544,historical
Bangor,2018,177437.02966192097,7215.0,105.5975,261443.5149760542,71.66713139333682,historical
Bangor,2019,182273.29224167208,7374.0,107.4138,262960.72180193075,74.45472017275533,historical
Bangor,2020,187893.7230077545,6159.0,108.1375,280336.75094536995,72.47839394311362,historical
Bangor,2021,213338.0831832277,7225.0,111.048,304692.59633479913,77.75301318874,historical
Bangor,2022,221394.97628,1686.0,121.6811,298861.9294341532,90.14056858707316,historical
Bath,2015,330624.97457128664,13173.0,100.001,237414.11696454164,139.2622667296623,historical
Bath,2016,364232.79810849525,13750.0,100.3471,245087.29754123618,149.1293322083469,historical
Bath,2017,386454.3619449902,12082.0,103.0775,254455.54739836094,156.54895285510023,historical
Bath,2018,394458.2474092303,12251.0,105.5975,261443.5149760542,159.32238665247175,historical
Bath,2019,403718.81724149187,11737.0,107.4138,262960.72180193075,164.91045504536547,historical
Bath,2020,416973.6223860591,10320.0,108.1375,280336.75094536995,160.84400257445867,historical
Bath,2021,457135.33960512327,13177.0,111.048,304692.59633479913,166.60715029875487,historical
Bath,2022,468367.98647,2660.0,121.6811,298861.9294341532,190.69518792962015,historical
Birmingham,2015,173909.43908635387,49022.0,100.001,237414.11696454164,73.25224818316883,historical
Birmingham,2016,182782.84264656052,53700.0,100.3471,245087.29754123618,74.83753084450514,historical
Birmingham,2017,195221.84862788548,50035.0,103.0775,254455.54739836094,79.08249715003261,historical
Birmingham,2018,204662.6656244691,52064.0,105.5975,261443.5149760542,82.6636141089953,historical
Birmingham,2019,214158.27226740727,51031.0,107.4138,262960.72180193075,87.47904884062396,historical
Birmingham,2020,220804.6479129358,40831.0,108.1375,280336.75094536995,85.17350127360977,historical
Birmingham,2021,249182.66805242404,46426.0,111.048,304692.59633479913,90.81689957270954,historical
Birmingham,2022,249484.80263,10326.0,121.6811,298861.9294341532,101.57729114169368,historical
Bradford,2015,152023.93782478693,27197.0,100.001,237414.11696454164,64.03387465239506,historical
Bradford,2016,159203.0493360581,28580.0,100.3471,245087.29754123618,65.18315911228508,historical
Bradford,2017,164469.46997154446,28657.0,103.0775,254455.54739836094,66.6250037160757,historical
Bradford,2018,167089.21141397135,29549.0,105.5975,261443.5149760542,67.48762922615573,historical
Bradford,2019,170430.71859207458,29857.0,107.4138,262960.72180193075,69.61728350629652,historical
Bradford,2020,174783.77755832847,25049.0,108.1375,280336.75094536995,67.42134480040748,historical
Bradford,2021,193604.98345052224,30696.0,111.048,304692.59633479913,70.5611047358361,historical
Bradford,2022,189456.44017,7045.0,121.6811,298861.9294341532,77.1368507377886,historical
Brighton and Hove,2015,344571.0490953364,21224.0,100.001,237414.11696454164,145.13648101948814,historical
Brighton and Hove,2016,369557.3351352116,20863.0,100.3471,245087.29754123618,151.30937929701219,historical
Brighton and Hove,2017,402609.26747662394,17224.0,103.0775,254455.54739836094,163.0931500320241,historical
Brighton and Hove,2018,406154.1273456385,15972.0,105.5975,261443.5149760542,164.04637332966277,historical
Brighton and Hove,2019,411716.0065591355,14784.0,107.4138,262960.72180193075,168.1771349055407,historical
Brighton and Hove,2020,424473.60829768993,13541.0,108.1375,280336.75094536995,163.7370578866287,historical
Brighton and Hove,2021,469797.2983931216,19890.0,111.048,304692.59633479913,171.22191684183363,historical
Brighton and Hove,2022,466461.79135,4232.0,121.6811,298861.9294341532,189.91908399609008,historical
Bristol,2015,245201.77616489795,32046.0,100.001,237414.11696454164,103.28123336460293,historical
Bristol,2016,272483.47500817187,32191.0,100.3471,245087.29754123618,111.56402958987317,historical
Bristol,2017,294574.00869307114,30025.0,103.0775,254455.54739836094,119.32910361558747,historical
Bristol,2018,306608.67496743845,29443.0,105.5975,261443.5149760542,123.83978832995543,historical
Bristol,2019,313412.6424940069,27233.0,107.4138,262960.72180193075,128.0223246560756,historical
Bristol,2020,329324.25920919154,23267.0,108.1375,280336.75094536995,127.03401163115366,historical
Bristol,2021,365178.3370139118,29723.0,111.048,304692.59633479913,133.09258070767692,historical
Bristol,2022,366732.10944,6305.0,121.6811,298861.9294341532,149.31432239117444,historical
Cambridge,2015,454444.957696707,7021.0,100.001,237414.11696454164,191.41637740697496,historical
Cambridge,2016,496533.06255583314,6698.0,100.3471,245087.29754123618,203.29757348282493,historical
Cambridge,2017,505584.0337732744,6218.0,103.0775,254455.54739836094,204.80723951235964,historical
Cambridge,2018,532792.3433062126,5616.0,105.5975,261443.5149760542,215.19577365470633,historical
Cambridge,2019,521571.3978369509,5359.0,107.4138,262960.72180193075,213.05069985006153,historical
Cambridge,2020,515294.7554187056,4751.0,108.1375,280336.75094536995,198.77053731335113,historical
Cambridge,2021,544845.2845506035,5767.0,111.048,304692.59633479913,198.57384093538352,historical
Cambridge,2022,557737.12172,1183.0,121.6811,298861.9294341532,227.0816714936457,historical
Canterbury,2015,264211.0229009708,11485.0,100.001,237414.11696454164,111.28810215218196,historical
Canterbury,2016,291051.3209883119,11125.0,100.3471,245087.29754123618,119.1663391181351,historical
Canterbury,2017,313806.5174592027,9394.0,103.0775,254455.54739836094,127.12000832413104,historical
Canterbury,2018,328329.82394463103,9406.0,105.5975,261443.5149760542,132.61299897673385,historical
Canterbury,2019,341284.871806414,9088.0,107.4138,262960.72180193075,139.4075309500106,historical
Canterbury,2020,350101.49963745615,8212.0,108.1375,280336.75094536995,135.04865412534915,historical
Canterbury,2021,379493.8615589398,11196.0,111.048,304692.59633479913,138.31000439567975,historical
Canterbury,2022,379320.09043,2289.0,121.6811,298861.9294341532,154.43949633535115,historical
Cardiff,2015,200496.9250054855,21668.0,100.001,237414.11696454164,84.45114070646463,historical
Cardiff,2016,210022.29732989072,22692.0,100.3471,245087.29754123618,85.99029278066263,historical
Cardiff,2017,217528.29022551503,21387.0,103.0775,254455.54739836094,88.11862254516899,historical
Cardiff,2018,231338.52367547687,22113.0,105.5975,261443.5149760542,93.43804054982438,historical
Cardiff,2019,234430.89070135797,22077.0,107.4138,262960.72180193075,95.7599775170401,historical
Cardiff,2020,244225.2946519955,17329.0,108.1375,280336.75094536995,94.20781510582871,historical
Cardiff,2021,271354.4640214118,18941.0,111.048,304692.59633479913,98.89761314560758,historical
Cardiff,2022,276534.67618,4379.0,121.6811,298861.9294341532,112.59059877393963,historical
Carlisle,2015,148207.19157716574,7360.0,100.001,237414.11696454164,62.426226184021246,historical
Carlisle,2016,152740.80847815148,7644.0,100.3471,245087.29754123618,62.53729726592262,historical
Carlisle,2017,155160.6467996278,7953.0,103.0775,254455.54739836094,62.85408879473169,historical
Carlisle,2018,161131.79665964353,8444.0,105.5975,261443.5149760542,65.08141882702706,historical
Carlisle,2019,164914.31336648102,7863.0,107.4138,262960.72180193075,67.36395059953952,historical
Carlisle,2020,166938.0843396242,6972.0,108.1375,280336.75094536995,64.39493585624817,historical
Carlisle,2021,179271.38679189078,8917.0,111.048,304692.59633479913,65.33709450094771,historical
Carlisle,2022,171757.84072,1940.0,121.6811,298861.9294341532,69.93089762889696,historical
Chelmsford,2015,304608.2502840569,12374.0,100.001,237414.11696454164,128.30378423202785,historical
Chelmsford,2016,337206.35022091225,13757.0,100.3471,245087.29754123618,138.063782520429,historical
Chelmsford,2017,374400.6720150037,12275.0,103.0775,254455.54739836094,151.66611875515014,historical
Chelmsford,2018,388037.7858965199,11471.0,105.5975,261443.5149760542,156.7291508453012,historical
Chelmsford,2019,395229.1989990207,11181.0,107.4138,262960.72180193075,161.4426285588683,historical
Chelmsford,2020,405726.3364308212,9681.0,108.1375,280336.75094536995,156.5054583740176,historical
Chelmsford,2021,430161.5402291577,13274.0,111.048,304692.59633479913,156.77630271947578,historical
Chelmsford,2022,426686.31644,2585.0,121.6811,298861.9294341532,173.72457053218113,historical
Chester,2015,216216.76496084465,22992.0,100.001,237414.11696454164,91.07248123783097,historical
Chester,2016,225809.6201054064,25357.0,100.3471,245087.29754123618,92.45416126009863,historical
Chester,2017,232117.36888415468,25138.0,103.0775,254455.54739836094,94.02851828456765,historical
Chester,2018,238237.38834128706,25166.0,105.5975,261443.5149760542,96.22450424013475,historical
Chester,2019,240168.5639608858,23787.0,107.4138,262960.72180193075,98.1036936573863,historical
Chester,2020,251312.59448534992,19918.0,108.1375,280336.75094536995,96.94168029883267,historical
Chester,2021,281552.2466039086,25600.0,111.048,304692.59633479913,102.61428816115921,historical
Chester,2022,278829.68634,5404.0,121.6811,298861.9294341532,113.525008055539,historical
Chichester,2015,396401.27809327043,8907.0,100.001,237414.11696454164,166.96784806829976,historical
Chichester,2016,419916.5650020473,8846.0,100.3471,245087.29754123618,171.92816585211756,historical
Chichester,2017,443531.25591796136,8280.0,103.0775,254455.54739836094,179.67025478249863,historical
Chichester,2018,458928.922736306,7921.0,105.5975,261443.5149760542,185.36220691144592,historical
Chichester,2019,449908.0467519795,7401.0,107.4138,262960.72180193075,183.77776202108427,historical
Chichester,2020,485886.118517407,6961.0,108.1375,280336.75094536995,187.4264075758487,historical
Chichester,2021,525510.0986216677,10038.0,111.048,304692.59633479913,191.52695580307406,historical
Chichester,2022,537749.47479,1864.0,121.6811,298861.9294341532,218.9437367976513,historical
Colchester,2015,236552.66195772044,14652.0,100.001,237414.11696454164,99.63814726302483,historical
Colchester,2016,253661.9601117277,15894.0,100.3471,245087.29754123618,103.8578593541546,historical
Colchester,2017,278777.7771871764,14308.0,103.0775,254455.54739836094,112.93020184395584,historical
Colchester,2018,291787.1955344326,14734.0,105.5975,261443.5149760542,117.85336646529305,historical
Colchester,2019,293266.07910418924,13160.0,107.4138,262960.72180193075,119.79288675442885,historical
Colchester,2020,300638.7560280404,11079.0,108.1375,280336.75094536995,115.96882453102842,historical
Colchester,2021,335967.2513197874,14766.0,111.048,304692.59633479913,122.44633369287656,historical
Colchester,2022,330760.29699,3027.0,121.6811,298861.9294341532,134.66846329430987,historical
Coventry,2015,161444.6265703767,18156.0,100.001,237414.11696454164,68.00195501464422,historical
Coventry,2016,172765.1694390378,19954.0,100.3471,245087.29754123618,70.73595371175524,historical
Coventry,2017,183527.39969769501,18499.0,103.0775,254455.54739836094,74.3451881311235,historical
Coventry,2018,195439.51950708465,17480.0,105.5975,261443.5149760542,78.93836901267035,historical
Coventry,2019,201689.38722807993,16458.0,107.4138,262960.72180193075,82.38577744001486,historical
Coventry,2020,206382.0844738107,14265.0,108.1375,280336.75094536995,79.61012098672646,historical
Coventry,2021,224281.00473645527,16258.0,111.048,304692.59633479913,81.74126090877174,historical
Coventry,2022,227278.39559,3764.0,121.6811,298861.9294341532,92.53599223557028,historical
Derby,2015,156373.8040710403,14592.0,100.001,237414.11696454164,65.86607814582317,historical
Derby,2016,162627.2728595133,15081.0,100.3471,245087.29754123618,66.58515302946351,historical
Derby,2017,166649.56349186148,14451.0,103.0775,254455.54739836094,67.50813867673219,historical
Derby,2018,173332.62590528987,14662.0,105.5975,261443.5149760542,70.00935542696584,historical
Derby,2019,185699.52486605165,13512.0,107.4138,262960.72180193075,75.85426252017021,historical
Derby,2020,191549.66596610172,11918.0,108.1375,280336.75094536995,73.8886426184124,historical
Derby,2021,209623.5164032056,13807.0,111.048,304692.59633479913,76.39920539442575,historical
Derby,2022,207734.20518,3168.0,121.6811,298861.9294341532,84.57861006849095,historical
Doncaster,2015,138937.16670639123,15950.0,100.001,237414.11696454164,58.52160682543115,historical
Doncaster,2016,144695.45499383926,17420.0,100.3471,245087.29754123618,59.24325510737382,historical
Doncaster,2017,147560.81351587668,17401.0,103.0775,254455.54739836094,59.77546927428769,historical
