City,Year,Mean_Price,Sales_Count,National_CPIH,UK_Weighted_Mean_City_Price,City_CPIH_Proxy,Type
Bangor,2023,222756.2408201713,1686.0,119.06980357142857,314505.3521013088,85.48927628224342,forecast
Bangor,2024,230984.2298370544,1686.0,121.71577380952385,325366.4558361722,82.46610558205218,forecast
Bangor,2025,239212.21885393932,1686.0,124.36174404761914,336227.5595710358,91.32313721532714,forecast
Bangor,2026,247440.2078708224,1686.0,127.00771428571443,347088.66330589936,94.10956012397966,forecast
Bangor,2027,255668.19688770548,1686.0,129.65368452380972,357949.7670407629,85.21006845834651,forecast
Bangor,2028,263896.18590458855,1686.0,132.299654761905,368810.8707756267,89.72839201245951,forecast
Bangor,2029,272124.1749214716,1686.0,134.9456250000003,379671.97451049025,97.2048652384157,forecast
Bangor,2030,280352.1639383547,1686.0,137.59159523809558,390533.07824535377,97.57412657836575,forecast
Bangor,2031,288580.15295523964,1686.0,140.23756547619087,401394.1819802172,100.75934106625463,forecast
Bangor,2032,296808.1419721227,1686.0,142.88353571428615,412255.2857150806,99.63698718698686,forecast
Bangor,2033,305036.1309890058,1686.0,145.52950595238144,423116.3894499444,108.24981799935121,forecast
Bangor,2034,313264.12000588886,1686.0,148.17547619047673,433977.4931848079,109.9080659124878,forecast
Bangor,2035,321492.10902277194,1686.0,150.82144642857202,444838.5969196717,109.2514291312818,forecast
Bath,2023,484684.99035616964,2660.0,119.06980357142857,314505.3521013088,190.53284861739104,forecast
Bath,2024,502893.7063315213,2660.0,121.71577380952385,325366.4558361722,191.0439307231456,forecast
Bath,2025,521102.42230688035,2660.0,124.36174404761914,336227.5595710358,187.38004744704486,forecast
Bath,2026,539311.138282232,2660.0,127.00771428571443,347088.66330589936,199.6473671888466,forecast
Bath,2027,557519.8542575836,2660.0,129.65368452380972,357949.7670407629,195.95685239377042,forecast
Bath,2028,575728.5702329352,2660.0,132.299654761905,368810.8707756267,212.00666991924749,forecast
Bath,2029,593937.2862082869,2660.0,134.9456250000003,379671.97451049025,210.78973440805413,forecast
Bath,2030,612146.0021836385,2660.0,137.59159523809558,390533.07824535377,214.5161266304594,forecast
Bath,2031,630354.7181589901,2660.0,140.23756547619087,401394.1819802172,215.9818684122154,forecast
Bath,2032,648563.4341343418,2660.0,142.88353571428615,412255.2857150806,232.41431802223156,forecast
Bath,2033,666772.1501096934,2660.0,145.52950595238144,423116.3894499444,228.3698361280601,forecast
Bath,2034,684980.8660850525,2660.0,148.17547619047673,433977.4931848079,231.20422775232078,forecast
Bath,2035,703189.5820604041,2660.0,150.82144642857202,444838.5969196717,236.21737954604018,forecast
Birmingham,2023,262022.54173098505,10326.0,119.06980357142857,314505.3521013088,100.66595696549312,forecast
Birmingham,2024,273299.57359209284,10326.0,121.71577380952385,325366.4558361722,103.24449060494119,forecast
Birmingham,2025,284576.6054531969,10326.0,124.36174404761914,336227.5595710358,106.39395808090926,forecast
Birmingham,2026,295853.6373143047,10326.0,127.00771428571443,347088.66330589936,109.44599707634488,forecast
Birmingham,2027,307130.6691754088,10326.0,129.65368452380972,357949.7670407629,117.14387386440957,forecast
Birmingham,2028,318407.7010365166,10326.0,132.299654761905,368810.8707756267,113.09990577166143,forecast
Birmingham,2029,329684.7328976244,10326.0,134.9456250000003,379671.97451049025,115.76824835063834,forecast
Birmingham,2030,340961.76475872844,10326.0,137.59159523809558,390533.07824535377,117.88586619034048,forecast
Birmingham,2031,352238.79661983624,10326.0,140.23756547619087,401394.1819802172,124.76007279619623,forecast
Birmingham,2032,363515.8284809403,10326.0,142.88353571428615,412255.2857150806,129.09979109925882,forecast
Birmingham,2033,374792.8603420481,10326.0,145.52950595238144,423116.3894499444,128.59500716036723,forecast
Birmingham,2034,386069.8922031559,10326.0,148.17547619047673,433977.4931848079,129.5045571413586,forecast
Birmingham,2035,397346.92406426,10326.0,150.82144642857202,444838.5969196717,132.44912876669105,forecast
Bradford,2023,196471.3565893378,7045.0,119.06980357142857,314505.3521013088,75.64870514569725,forecast
Bradford,2024,202046.61393370852,7045.0,121.71577380952385,325366.4558361722,77.02940861445221,forecast
Bradford,2025,207621.8712780811,7045.0,124.36174404761914,336227.5595710358,77.85068629722673,forecast
Bradford,2026,213197.12862245366,7045.0,127.00771428571443,347088.66330589936,76.71885200535776,forecast
Bradford,2027,218772.38596682623,7045.0,129.65368452380972,357949.7670407629,79.69368691721145,forecast
Bradford,2028,224347.6433111988,7045.0,132.299654761905,368810.8707756267,80.70491082141247,forecast
Bradford,2029,229922.9006555695,7045.0,134.9456250000003,379671.97451049025,82.14627883384362,forecast
Bradford,2030,235498.15799994208,7045.0,137.59159523809558,390533.07824535377,84.66562525809861,forecast
Bradford,2031,241073.41534431465,7045.0,140.23756547619087,401394.1819802172,84.66035586100573,forecast
Bradford,2032,246648.67268868722,7045.0,142.88353571428615,412255.2857150806,86.80690331945588,forecast
Bradford,2033,252223.9300330598,7045.0,145.52950595238144,423116.3894499444,86.8830881629773,forecast
Bradford,2034,257799.18737743236,7045.0,148.17547619047673,433977.4931848079,88.58442199996132,forecast
Bradford,2035,263374.44472180307,7045.0,150.82144642857202,444838.5969196717,90.52475614955866,forecast
Brighton and Hove,2023,488288.4486931488,4232.0,119.06980357142857,314505.3521013088,176.86348255215927,forecast
Brighton and Hove,2024,505259.757190153,4232.0,121.71577380952385,325366.4558361722,187.25680636858283,forecast
Brighton and Hove,2025,522231.06568716466,4232.0,124.36174404761914,336227.5595710358,190.57728970369072,forecast
Brighton and Hove,2026,539202.3741841763,4232.0,127.00771428571443,347088.66330589936,193.79920249650334,forecast
Brighton and Hove,2027,556173.682681188,4232.0,129.65368452380972,357949.7670407629,199.94227190393033,forecast
Brighton and Hove,2028,573144.9911781996,4232.0,132.299654761905,368810.8707756267,213.8052651805225,forecast
Brighton and Hove,2029,590116.2996752113,4232.0,134.9456250000003,379671.97451049025,204.98992836384718,forecast
Brighton and Hove,2030,607087.608172223,4232.0,137.59159523809558,390533.07824535377,219.20320661314895,forecast
Brighton and Hove,2031,624058.9166692272,4232.0,140.23756547619087,401394.1819802172,208.79264924922538,forecast
Brighton and Hove,2032,641030.2251662388,4232.0,142.88353571428615,412255.2857150806,220.33616662599508,forecast
Brighton and Hove,2033,658001.5336632505,4232.0,145.52950595238144,423116.3894499444,227.21097413007274,forecast
Brighton and Hove,2034,674972.8421602622,4232.0,148.17547619047673,433977.4931848079,233.67819051795036,forecast
Brighton and Hove,2035,691944.1506572738,4232.0,150.82144642857202,444838.5969196717,238.50649818235524,forecast
Bristol,2023,388041.6261968389,6305.0,119.06980357142857,314505.3521013088,150.04141227001142,forecast
Bristol,2024,405008.7852686122,6305.0,121.71577380952385,325366.4558361722,150.13266827007752,forecast
Bristol,2025,421975.94434039295,6305.0,124.36174404761914,336227.5595710358,154.25298504520336,forecast
Bristol,2026,438943.10341216624,6305.0,127.00771428571443,347088.66330589936,164.00566840735502,forecast
Bristol,2027,455910.262483947,6305.0,129.65368452380972,357949.7670407629,164.38109694212008,forecast
Bristol,2028,472877.4215557277,6305.0,132.299654761905,368810.8707756267,164.59541048720695,forecast
Bristol,2029,489844.580627501,6305.0,134.9456250000003,379671.97451049025,169.63101255345495,forecast
Bristol,2030,506811.73969928175,6305.0,137.59159523809558,390533.07824535377,174.9296468883221,forecast
Bristol,2031,523778.89877105504,6305.0,140.23756547619087,401394.1819802172,184.95809052617773,forecast
Bristol,2032,540746.0578428358,6305.0,142.88353571428615,412255.2857150806,187.97927845944136,forecast
Bristol,2033,557713.2169146165,6305.0,145.52950595238144,423116.3894499444,194.54889114890142,forecast
Bristol,2034,574680.3759863898,6305.0,148.17547619047673,433977.4931848079,194.53018182503783,forecast
Bristol,2035,591647.5350581706,6305.0,150.82144642857202,444838.5969196717,201.22239337254828,forecast
Cambridge,2023,568735.2344789244,1183.0,119.06980357142857,314505.3521013088,221.36316731377627,forecast
Cambridge,2024,580431.8711170666,1183.0,121.71577380952385,325366.4558361722,214.14432646829414,forecast
Cambridge,2025,592128.5077552088,1183.0,124.36174404761914,336227.5595710358,223.42543832714355,forecast
Cambridge,2026,603825.1443933472,1183.0,127.00771428571443,347088.66330589936,214.558987534701,forecast
Cambridge,2027,615521.7810314894,1183.0,129.65368452380972,357949.7670407629,219.44208357442452,forecast
Cambridge,2028,627218.4176696315,1183.0,132.299654761905,368810.8707756267,221.30772359319351,forecast
Cambridge,2029,638915.0543077737,1183.0,134.9456250000003,379671.97451049025,215.53523508678043,forecast
Cambridge,2030,650611.6909459159,1183.0,137.59159523809558,390533.07824535377,233.92618666720205,forecast
Cambridge,2031,662308.327584058,1183.0,140.23756547619087,401394.1819802172,226.86011497018512,forecast
Cambridge,2032,674004.9642222002,1183.0,142.88353571428615,412255.2857150806,233.7240405063596,forecast
Cambridge,2033,685701.6008603424,1183.0,145.52950595238144,423116.3894499444,240.4890642515862,forecast
Cambridge,2034,697398.2374984846,1183.0,148.17547619047673,433977.4931848079,242.43045505156067,forecast
Cambridge,2035,709094.8741366267,1183.0,150.82144642857202,444838.5969196717,246.84481508459368,forecast
Canterbury,2023,404332.8851953633,2289.0,119.06980357142857,314505.3521013088,152.64877126106128,forecast
Canterbury,2024,420640.22055194527,2289.0,121.71577380952385,325366.4558361722,155.51189135985922,forecast
Canterbury,2025,436947.5559085272,2289.0,124.36174404761914,336227.5595710358,161.26802372220638,forecast
Canterbury,2026,453254.8912651092,2289.0,127.00771428571443,347088.66330589936,158.50318745229188,forecast
Canterbury,2027,469562.22662169114,2289.0,129.65368452380972,357949.7670407629,163.7747200457454,forecast
Canterbury,2028,485869.5619782731,2289.0,132.299654761905,368810.8707756267,168.5267349125755,forecast
Canterbury,2029,502176.89733485505,2289.0,134.9456250000003,379671.97451049025,174.1412929453878,forecast
Canterbury,2030,518484.232691437,2289.0,137.59159523809558,390533.07824535377,184.4131772319493,forecast
Canterbury,2031,534791.568048019,2289.0,140.23756547619087,401394.1819802172,182.89747226713925,forecast
Canterbury,2032,551098.9034046009,2289.0,142.88353571428615,412255.2857150806,189.3573529988981,forecast
Canterbury,2033,567406.2387611829,2289.0,145.52950595238144,423116.3894499444,200.81940149292166,forecast
Canterbury,2034,583713.5741177648,2289.0,148.17547619047673,433977.4931848079,197.74818998664355,forecast
Canterbury,2035,600020.9094743468,2289.0,150.82144642857202,444838.5969196717,206.64963155251894,forecast
Cardiff,2023,285140.0883659199,4379.0,119.06980357142857,314505.3521013088,104.62300056818529,forecast
Cardiff,2024,296117.5701752603,4379.0,121.71577380952385,325366.4558361722,110.04151564365164,forecast
Cardiff,2025,307095.0519846007,4379.0,124.36174404761914,336227.5595710358,110.19860268124269,forecast
Cardiff,2026,318072.53379394114,4379.0,127.00771428571443,347088.66330589936,115.18104933644325,forecast
Cardiff,2027,329050.01560327783,4379.0,129.65368452380972,357949.7670407629,122.1823996348976,forecast
Cardiff,2028,340027.49741261825,4379.0,132.299654761905,368810.8707756267,115.81484844107909,forecast
Cardiff,2029,351004.97922195867,4379.0,134.9456250000003,379671.97451049025,126.30576510651368,forecast
Cardiff,2030,361982.4610312991,4379.0,137.59159523809558,390533.07824535377,128.3804847451247,forecast
Cardiff,2031,372959.9428406395,4379.0,140.23756547619087,401394.1819802172,128.18457262470056,forecast
Cardiff,2032,383937.4246499762,4379.0,142.88353571428615,412255.2857150806,127.91218738750013,forecast
Cardiff,2033,394914.9064593166,4379.0,145.52950595238144,423116.3894499444,136.0869124352077,forecast
Cardiff,2034,405892.388268657,4379.0,148.17547619047673,433977.4931848079,136.6980360055408,forecast
Cardiff,2035,416869.87007799745,4379.0,150.82144642857202,444838.5969196717,142.1684441050215,forecast
Carlisle,2023,180548.59421096742,1940.0,119.06980357142857,314505.3521013088,68.38719576826705,forecast
Carlisle,2024,184556.00212638825,1940.0,121.71577380952385,325366.4558361722,71.42997091156782,forecast
Carlisle,2025,188563.41004180908,1940.0,124.36174404761914,336227.5595710358,69.38755227661004,forecast
Carlisle,2026,192570.8179572299,1940.0,127.00771428571443,347088.66330589936,68.93910284538778,forecast
Carlisle,2027,196578.22587265074,1940.0,129.65368452380972,357949.7670407629,71.47044929644036,forecast
Carlisle,2028,200585.6337880725,1940.0,132.299654761905,368810.8707756267,72.2821990220915,forecast
Carlisle,2029,204593.04170349333,1940.0,134.9456250000003,379671.97451049025,74.74567377759347,forecast
Carlisle,2030,208600.44961891416,1940.0,137.59159523809558,390533.07824535377,74.73949047303415,forecast
Carlisle,2031,212607.857534335,1940.0,140.23756547619087,401394.1819802172,74.81254610036486,forecast
Carlisle,2032,216615.26544975583,1940.0,142.88353571428615,412255.2857150806,77.2598121977863,forecast
Carlisle,2033,220622.67336517666,1940.0,145.52950595238144,423116.3894499444,74.10890424962776,forecast
Carlisle,2034,224630.08128059842,1940.0,148.17547619047673,433977.4931848079,75.7423017001219,forecast
Carlisle,2035,228637.48919601925,1940.0,150.82144642857202,444838.5969196717,76.13660282295339,forecast
Chelmsford,2023,458854.77878673375,2585.0,119.06980357142857,314505.3521013088,171.2917181915621,forecast
Chelmsford,2024,475765.3837805763,2585.0,121.71577380952385,325366.4558361722,169.4036804576015,forecast
Chelmsford,2025,492675.98877441883,2585.0,124.36174404761914,336227.5595710358,186.1838906822482,forecast
Chelmsford,2026,509586.5937682614,2585.0,127.00771428571443,347088.66330589936,185.08534511447527,forecast
Chelmsford,2027,526497.1987621039,2585.0,129.65368452380972,357949.7670407629,181.54279233412382,forecast
Chelmsford,2028,543407.8037559465,2585.0,132.299654761905,368810.8707756267,188.60553659289016,forecast
Chelmsford,2029,560318.408749789,2585.0,134.9456250000003,379671.97451049025,201.1049165870538,forecast
Chelmsford,2030,577229.0137436315,2585.0,137.59159523809558,390533.07824535377,208.58801725820695,forecast
Chelmsford,2031,594139.6187374741,2585.0,140.23756547619087,401394.1819802172,220.01469118611607,forecast
Chelmsford,2032,611050.2237313166,2585.0,142.88353571428615,412255.2857150806,229.93259616156766,forecast
Chelmsford,2033,627960.8287251592,2585.0,145.52950595238144,423116.3894499444,218.56619703630815,forecast
Chelmsford,2034,644871.4337190017,2585.0,148.17547619047673,433977.4931848079,214.01897841751384,forecast
Chelmsford,2035,661782.0387128443,2585.0,150.82144642857202,444838.5969196717,211.09633227223702,forecast
Chester,2023,287129.8382050395,5404.0,119.06980357142857,314505.3521013088,109.59117658784407,forecast
Chester,2024,296374.1290927753,5404.0,121.71577380952385,325366.4558361722,108.1809188057753,forecast
Chester,2025,305618.41998051107,5404.0,124.36174404761914,336227.5595710358,111.66624756204693,forecast
Chester,2026,314862.71086824685,5404.0,127.00771428571443,347088.66330589936,113.19071456699399,forecast
