source,file,rows,description,fetched_utc
ons,ons_data\ons_catalogue.csv,337,Index of every dataset on the ONS API,2026-08-21T13:14:37.753264+00:00
ons,ons_data\ons_cpih01.csv,55754,"ONS cpih01, latest version",2026-08-21T13:14:37.753419+00:00
ons,ons_data\ons_house_prices_local_authority.csv,794400,"ONS house-prices-local-authority, latest version",2026-08-21T13:14:37.753531+00:00
