Region,Regional_Mean_Price,Regional_Median_Price_Approx,Regional_Sales_Count,Local_Authority_Count,Date
South East,415746.11094786495,365000.0,40424.0,13,2022-03-01
East Midlands,362998.60531,287500.0,565.0,1,2022-03-01
South West,327183.01484851487,297000.0,32345.333333333332,7,2022-03-01
East,310572.5093856028,320000.0,9804.0,4,2022-03-01
West Midlands,232668.49188463224,209964.2857142857,14251.0,4,2022-03-01
Wales,218561.46542746274,182500.0,16168.0,9,2022-03-01
North West,206823.97209490134,168287.5,13800.033333333333,5,2022-03-01
North East,202744.75776272168,150852.0,9431.2,3,2022-03-01
Yorkshire and The Humber,197830.9324828491,162500.0,21655.775,6,2022-03-01
