Region,Pay_Yearly
East,41854.799999999996
East Midlands,37481.6
London,46940.4
North East,35989.200000000004
North West,38209.6
Northern Ireland,37211.200000000004
Scotland,40331.200000000004
South East,42390.4
South West,38168.0
Wales,37403.6
West Midlands,38012.0
Yorkshire and The Humber,37003.200000000004
