City,Housing Affordability Ratio
Westminster,34.15026594660644
London,17.915544037076664
Chichester,16.20137247978404
St Albans,15.707526956933913
Oxford,15.677065896361658
Winchester,14.417931916747941
Cambridge,14.325783196001273
Brighton and Hove,13.920575830826527
Bath,12.922635098223154
Chelmsford,11.843975295345533
