Housing Affordability Ratio,City
6.460841873098653,Wrexham
6.390796493192828,Bradford
6.300979429239618,Lincoln
6.11834761563884,Preston
5.949029059758737,Liverpool
5.663726895895625,Doncaster
5.551349949109779,Sunderland
5.120483981867835,Stoke on Trent
5.098016323909175,Durham
4.835165479228189,Kingston upon Hull
