ons_geography,ons_geography_code,lookup_parent_geography,nomis_geography,mapped,mapping_type,mapping_source
Richmond upon Thames,E09000027,,Richmond-upon-Thames,True,direct_name_match,dataset_name_overlap
Richmondshire,E07000166,North Yorkshire,North Yorkshire,True,official_lookup_parent_match,manual_successor_override
Rochdale,E08000005,,Rochdale,True,direct_name_match,dataset_name_overlap
Rochford,E07000075,Essex,Essex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Rossendale,E07000125,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Rother,E07000064,East Sussex,East Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Rotherham,E08000018,,Rotherham,True,direct_name_match,dataset_name_overlap
Rugby,E07000220,Warwickshire,Warwickshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Runnymede,E07000212,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Rushcliffe,E07000176,Nottinghamshire,Nottinghamshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Rushmoor,E07000092,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Rutland,E06000017,,Rutland,True,direct_name_match,dataset_name_overlap
Ryedale,E07000167,North Yorkshire,North Yorkshire,True,official_lookup_parent_match,manual_successor_override
Salford,E08000006,,Salford,True,direct_name_match,dataset_name_overlap
Sandwell,E08000028,,Sandwell,True,direct_name_match,dataset_name_overlap
Scarborough,E07000168,North Yorkshire,North Yorkshire,True,official_lookup_parent_match,manual_successor_override
Sedgemoor,E07000188,Somerset,Somerset,True,official_lookup_parent_match,manual_successor_override
Sefton,E08000014,,Sefton,True,direct_name_match,dataset_name_overlap
Selby,E07000169,North Yorkshire,North Yorkshire,True,official_lookup_parent_match,manual_successor_override
Sevenoaks,E07000111,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Sheffield,E08000019,,Sheffield,True,direct_name_match,dataset_name_overlap
Shropshire,E06000051,,Shropshire,True,direct_name_match,dataset_name_overlap
Slough,E06000039,,Slough,True,direct_name_match,dataset_name_overlap
Solihull,E08000029,,Solihull,True,direct_name_match,dataset_name_overlap
Somerset West and Taunton,E07000246,Somerset,Somerset,True,official_lookup_parent_match,manual_successor_override
South Cambridgeshire,E07000012,Cambridgeshire,Cambridgeshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
