ons_geography,ons_geography_code,lookup_parent_geography,nomis_geography,mapped,mapping_type,mapping_source
Coventry,E08000026,,Coventry,True,direct_name_match,dataset_name_overlap
Craven,E07000163,North Yorkshire,North Yorkshire,True,official_lookup_parent_match,manual_successor_override
Crawley,E07000226,West Sussex,West Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Croydon,E09000008,,Croydon,True,direct_name_match,dataset_name_overlap
Dacorum,E07000096,Hertfordshire,Hertfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Darlington,E06000005,,Darlington,True,direct_name_match,dataset_name_overlap
Dartford,E07000107,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Denbighshire,W06000004,,Denbighshire,True,direct_name_match,dataset_name_overlap
Derby,E06000015,,Derby City,True,manual_one_to_one,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Derbyshire Dales,E07000035,Derbyshire,Derbyshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Doncaster,E08000017,,Doncaster,True,direct_name_match,dataset_name_overlap
Dorset,E06000059,,Dorset,True,direct_name_match,dataset_name_overlap
Dover,E07000108,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Dudley,E08000027,,Dudley,True,direct_name_match,dataset_name_overlap
Ealing,E09000009,,Ealing,True,direct_name_match,dataset_name_overlap
East Cambridgeshire,E07000009,Cambridgeshire,Cambridgeshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
East Devon,E07000040,Devon,Devon,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
East Hampshire,E07000085,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
East Hertfordshire,E07000242,Hertfordshire,Hertfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
East Lindsey,E07000137,Lincolnshire,Lincolnshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
East Riding of Yorkshire,E06000011,,East Riding of Yorkshire,True,direct_name_match,dataset_name_overlap
East Staffordshire,E07000193,Staffordshire,Staffordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
East Suffolk,E07000244,Suffolk,Suffolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Eastbourne,E07000061,East Sussex,East Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Eastleigh,E07000086,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Eden,E07000030,Westmorland and Furness,Cumbria,True,lookup_parent_manual_one_to_one,manual_successor_override
Elmbridge,E07000207,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Enfield,E09000010,,Enfield,True,direct_name_match,dataset_name_overlap
Epping Forest,E07000072,Essex,Essex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Epsom and Ewell,E07000208,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Erewash,E07000036,Derbyshire,Derbyshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Exeter,E07000041,Devon,Devon,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Fareham,E07000087,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Fenland,E07000010,Cambridgeshire,Cambridgeshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Flintshire,W06000005,,Flintshire,True,direct_name_match,dataset_name_overlap
Folkestone and Hythe,E07000112,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Forest of Dean,E07000080,Gloucestershire,Gloucestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Fylde,E07000119,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Gateshead,E08000037,,Gateshead,True,direct_name_match,dataset_name_overlap
Gedling,E07000173,Nottinghamshire,Nottinghamshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Gloucester,E07000081,Gloucestershire,Gloucestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Gosport,E07000088,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Gravesham,E07000109,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
