City_Code,City,Date,Mean_Price,Sales_Count,National_CPIU_2022,UK_Weighted_Mean_City_Price_2022,City_CPIU_Proxy_2022
E09000033,Westminster,2022-03-01,1548332.0777,1955.0,121.6811,287352.28838162706,655.6507743192475
E09000001,London,2022-03-01,944371.32353,136.0,121.6811,287352.28838162706,399.8998654326834
E07000240,St Albans,2022-03-01,695906.27431,2129.0,121.6811,287352.28838162706,294.6858068604711
E07000178,Oxford,2022-03-01,564286.58072,1307.0,121.6811,287352.28838162706,238.95063527755298
E07000008,Cambridge,2022-03-01,557737.12172,1183.0,121.6811,287352.28838162706,236.177226441962
E07000094,Winchester,2022-03-01,555851.64556,1848.0,121.6811,287352.28838162706,235.3788099252023
E07000225,Chichester,2022-03-01,537749.47479,1864.0,121.6811,287352.28838162706,227.71333398941965
E06000022,Bath,2022-03-01,468367.98647,2660.0,121.6811,287352.28838162706,198.3333145506931
E06000043,Brighton and Hove,2022-03-01,466461.79135,4232.0,121.6811,287352.28838162706,197.5261244624479
E07000070,Chelmsford,2022-03-01,426686.31644,2585.0,121.6811,287352.28838162706,180.68295412498605
E07000106,Canterbury,2022-03-01,379320.09043,2289.0,121.6811,287352.28838162706,160.62543338552732
E07000165,Ripon,2022-03-01,375030.88575,2941.0,121.6811,287352.28838162706,158.80914319160897
E06000023,Bristol,2022-03-01,366732.10944,6305.0,121.6811,287352.28838162706,155.29497514463785
E06000033,Southend-on-Sea,2022-03-01,364650.9973,2959.0,121.6811,287352.28838162706,154.41371536471837
E06000054,Salisbury,2022-03-01,357594.68293,7541.0,121.6811,287352.28838162706,151.42567549448393
E07000009,Ely,2022-03-01,354331.89992,1319.0,121.6811,287352.28838162706,150.04402989161045
E07000194,Lichfield,2022-03-01,338801.76446,1694.0,121.6811,287352.28838162706,143.4676981819701
E06000042,Milton Keynes,2022-03-01,334035.71511,3647.0,121.6811,287352.28838162706,141.44948516954375
E07000071,Colchester,2022-03-01,330760.29699,3027.0,121.6811,287352.28838162706,140.06248915135924
E06000052,Truro,2022-03-01,330048.32134,8838.0,121.6811,287352.28838162706,139.76099866818564
E07000041,Exeter,2022-03-01,321802.16985,1831.0,121.6811,287352.28838162706,136.26911492603412
E06000014,York,2022-03-01,321627.68926,2980.0,121.6811,287352.28838162706,136.19523004333692
E06000019,Hereford,2022-03-01,311051.44771,2754.0,121.6811,287352.28838162706,131.71665528439655
E07000187|E07000188|E07000189,Wells,2022-03-01,310647.3903593119,6307.0,121.6811,287352.28838162706,131.54555470548098
E06000050,Chester,2022-03-01,278829.68634,5404.0,121.6811,287352.28838162706,118.07215156556069
W06000015,Cardiff,2022-03-01,276534.67618,4379.0,121.6811,287352.28838162706,117.10031534893348
E06000044,Portsmouth,2022-03-01,266401.15667,2802.0,121.6811,287352.28838162706,112.80921397022908
E07000148,Norwich,2022-03-01,256462.94179,1924.0,121.6811,287352.28838162706,108.600815542482
E08000035,Leeds,2022-03-01,254950.31348,10326.0,121.6811,287352.28838162706,107.96028374895232
E08000003,Manchester,2022-03-01,250518.28799,4639.0,121.6811,287352.28838162706,106.08351520157602
E08000025,Birmingham,2022-03-01,249484.80263,10326.0,121.6811,287352.28838162706,105.64587944740487
E06000045,Southampton,2022-03-01,249478.53358,2933.0,121.6811,287352.28838162706,105.64322477949096
E07000237,Worcester,2022-03-01,245354.53135,1515.0,121.6811,287352.28838162706,103.89689058262387
E06000031,Peterborough,2022-03-01,245288.40198,2530.0,121.6811,287352.28838162706,103.8688876927592
E07000081,Gloucester,2022-03-01,237903.76122,1960.0,121.6811,287352.28838162706,100.74181598630993
W06000009,St Davids,2022-03-01,235862.42289,1887.0,121.6811,287352.28838162706,99.8773986717115
E06000016,Leicester,2022-03-01,234391.94802,2597.0,121.6811,287352.28838162706,99.25471701251301
E08000006,Salford,2022-03-01,228307.98319,3212.0,121.6811,287352.28838162706,96.6784245561518
W06000022,Newport,2022-03-01,227800.17253,2104.0,121.6811,287352.28838162706,96.463388998062
E08000026,Coventry,2022-03-01,227278.39559,3764.0,121.6811,287352.28838162706,96.24243933250892
E08000019,Sheffield,2022-03-01,226762.07099,5902.0,121.6811,287352.28838162706,96.02379849397965
W06000002,Bangor,2022-03-01,221394.97628,1686.0,121.6811,287352.28838162706,93.75106911432131
E06000026,Plymouth,2022-03-01,219029.59276,3897.0,121.6811,287352.28838162706,92.74943286407083
E08000021,Newcastle upon Tyne,2022-03-01,216831.9796,3530.0,121.6811,287352.28838162706,91.81884000820973
W06000011,Swansea,2022-03-01,214859.25606,3136.0,121.6811,287352.28838162706,90.98347804991451
W06000006,Wrexham,2022-03-01,208129.56007,1698.0,121.6811,287352.28838162706,88.13374674851886
E06000015,Derby,2022-03-01,207734.20518,3168.0,121.6811,287352.28838162706,87.96633128029161
E07000121,Lancaster,2022-03-01,206354.95403,2284.0,121.6811,287352.28838162706,87.38227886834292
