city_name,year_num,model_version,k_value,cluster_id,Pay_Resident,Pay_Workplace,Pay_Diff_Pct,House_Price,pca_x,pca_y,run_ts_utc
Milton Keynes,2022,kmeans_city_power_v1_k4,4,3,35926.799999999996,36784.799999999996,2.388189318280504,334035.71511,0.9466675360931761,0.7498216048221953,2026-08-24T11:02:29+00:00
Newcastle upon Tyne,2022,kmeans_city_power_v1_k4,4,0,32255.6,31735.6,-1.6121231662098987,216831.9796,-0.4119815243498458,-0.09755043445800825,2026-08-24T11:02:29+00:00
Newport,2022,kmeans_city_power_v1_k4,4,0,32354.4,31616.0,-2.2822243651559027,227800.17253,-0.37120500377907006,-0.1927450956611457,2026-08-24T11:02:29+00:00
Norwich,2022,kmeans_city_power_v1_k4,4,0,30908.8,29312.4,-5.164872139973075,256462.94179,-0.7213314908739503,-0.7305517056088118,2026-08-24T11:02:29+00:00
Nottingham,2022,kmeans_city_power_v1_k4,4,0,27840.8,29005.6,4.183787822189014,200235.95072,-1.5075362193415742,0.41177920711281335,2026-08-24T11:02:29+00:00
Oxford,2022,kmeans_city_power_v1_k4,4,3,35994.4,37341.200000000004,3.7416931522681383,564286.58072,1.6098770309708614,0.8951433897864894,2026-08-24T11:02:29+00:00
Peterborough,2022,kmeans_city_power_v1_k4,4,0,30685.2,29676.4,-3.2875783765463455,245288.40198,-0.7727903153671348,-0.4679395014533345,2026-08-24T11:02:29+00:00
Plymouth,2022,kmeans_city_power_v1_k4,4,0,28631.2,30836.0,7.70069015619324,219029.59276,-1.191486420410037,0.9779105108326467,2026-08-24T11:02:29+00:00
Portsmouth,2022,kmeans_city_power_v1_k4,4,0,32666.4,33035.6,1.1302133078637286,266401.15667,-0.11665790384523625,0.3264378780461035,2026-08-24T11:02:29+00:00
Preston,2022,kmeans_city_power_v1_k4,4,0,29894.8,30659.2,2.556966428944169,182906.7783,-1.0376679864417904,0.34453731795711745,2026-08-24T11:02:29+00:00
Salford,2022,kmeans_city_power_v1_k4,4,0,31891.6,32229.6,1.059840208706995,228307.98319,-0.42174995229782714,0.26717322258072423,2026-08-24T11:02:29+00:00
Salisbury,2022,kmeans_city_power_v1_k4,4,2,33690.799999999996,31761.6,-5.726192313628639,357594.68293,0.24039821820580606,-0.6471748297268844,2026-08-24T11:02:29+00:00
Sheffield,2022,kmeans_city_power_v1_k4,4,0,30908.8,29894.8,-3.280619111709287,226762.07099,-0.7646216975001161,-0.44539987656475444,2026-08-24T11:02:29+00:00
Southampton,2022,kmeans_city_power_v1_k4,4,3,33425.6,35318.4,5.662725575606729,249478.53358,0.13643156170888673,1.0671855387924463,2026-08-24T11:02:29+00:00
Southend-on-Sea,2022,kmeans_city_power_v1_k4,4,2,36452.0,30773.6,-15.577746077032813,364650.9973,0.7046214057585776,-1.959185673475307,2026-08-24T11:02:29+00:00
St Albans,2022,kmeans_city_power_v1_k4,4,2,44304.0,32037.2,-27.687793427230044,695906.27431,3.04802402213217,-3.5316249422247727,2026-08-24T11:02:29+00:00
St Asaph,2022,kmeans_city_power_v1_k4,4,0,28126.8,28251.6,0.44370493621741286,205078.48526,-1.476707974790595,-0.10495282710430659,2026-08-24T11:02:29+00:00
St Davids,2022,kmeans_city_power_v1_k4,4,0,31855.2,31824.0,-0.0979431929480924,235862.42289,-0.4344072869862365,0.09107614146670406,2026-08-24T11:02:29+00:00
Stoke on Trent,2022,kmeans_city_power_v1_k4,4,0,28854.8,29874.0,3.5321679581906675,147750.54119,-1.388729918247646,0.4139395569613285,2026-08-24T11:02:29+00:00
Sunderland,2022,kmeans_city_power_v1_k4,4,0,27903.2,28132.0,0.8199776369735345,154900.42786,-1.6624958503780292,-0.053614253213814064,2026-08-24T11:02:29+00:00
Swansea,2022,kmeans_city_power_v1_k4,4,0,30929.6,30258.8,-2.1687962340282425,214859.25606,-0.7698823480179195,-0.27721870621494094,2026-08-24T11:02:29+00:00
Truro,2022,kmeans_city_power_v1_k4,4,0,29811.6,29406.0,-1.3605442176870701,330048.32134,-0.7375273408841434,-0.2748131369133759,2026-08-24T11:02:29+00:00
Wakefield,2022,kmeans_city_power_v1_k4,4,0,29822.0,31460.0,5.492589363557106,200524.75325,-0.9585202473391579,0.761477946888783,2026-08-24T11:02:29+00:00
Westminster,2022,kmeans_city_power_v1_k4,4,1,45338.799999999996,44844.799999999996,-1.0895744924876707,1548332.0777,6.51868567683706,0.5778481917309012,2026-08-24T11:02:29+00:00
Winchester,2022,kmeans_city_power_v1_k4,4,2,38552.799999999996,34881.6,-9.522524952792008,555851.64556,1.8895401634815359,-0.9511625484599405,2026-08-24T11:02:29+00:00
Wolverhampton,2022,kmeans_city_power_v1_k4,4,0,29707.6,30659.2,3.203220724663057,199958.29331,-1.0303958365894634,0.41902204513492397,2026-08-24T11:02:29+00:00
Worcester,2022,kmeans_city_power_v1_k4,4,3,33248.799999999996,35365.200000000004,6.365342508601842,245354.53135,0.09356881501729669,1.1587676568090066,2026-08-24T11:02:29+00:00
Wrexham,2022,kmeans_city_power_v1_k4,4,0,32214.0,31912.4,-0.9362389023405927,208129.56007,-0.43197941713951504,0.002003591830489036,2026-08-24T11:02:29+00:00
York,2022,kmeans_city_power_v1_k4,4,0,31772.0,32354.4,1.8330605564648166,321627.68926,-0.18977084766634686,0.34548353173788143,2026-08-24T11:02:29+00:00
