"year","mean_v4_0","observations"
"2015","100.001","1464"
"2016","100.3471","1464"
"2017","103.0775","1464"
"2018","105.5975","1464"
"2019","107.4138","1464"
"2020","108.1375","1464"
"2021","111.048","1464"
"2022","121.6811","1464"
