nomis_dataset,DATE,DATE_NAME,SEX,SEX_NAME,PAY,PAY_NAME,ITEM,ITEM_NAME,MEASURES,MEASURES_NAME,GEOGRAPHY_NAME,OBS_VALUE,Source_Geography_Count,GEOGRAPHY_CODE,GEOGRAPHY
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Exeter,473.9,1,E07000041,Exeter
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Exeter,6.2,1,E07000041,Exeter
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Glasgow,514.9,1,S12000046,Glasgow
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Glasgow,2.5,1,S12000046,Glasgow
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Gloucester,471.8,1,E07000081,Gloucester
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Gloucester,4.3,1,E07000081,Gloucester
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Hereford,454.7,1,E06000019,Hereford
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Hereford,4.8,1,E06000019,Hereford
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Inverness,490.7,1,S12000017,Inverness
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Inverness,4.8,1,S12000017,Inverness
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Kingston upon Hull,443.6,1,E06000010,Kingston upon Hull
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Kingston upon Hull,3.6,1,E06000010,Kingston upon Hull
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Lancaster,494.3,1,E07000121,Lancaster
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Lancaster,6.6,1,E07000121,Lancaster
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Leeds,498.4,1,E08000035,Leeds
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Leeds,2.3,1,E08000035,Leeds
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Leicester,421.7,1,E06000016,Leicester
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Leicester,3.0,1,E06000016,Leicester
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Lichfield,593.9,1,E07000194,Lichfield
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Lichfield,8.2,1,E07000194,Lichfield
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Lincoln,470.8,1,E07000138,Lincoln
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Lincoln,6.7,1,E07000138,Lincoln
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Liverpool,480.8,1,E08000012,Liverpool
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Liverpool,4.0,1,E08000012,Liverpool
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Manchester,479.8,1,E08000003,Manchester
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Manchester,3.4,1,E08000003,Manchester
